Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
B3GALNT2	gene	B3GALNT2	Emory Genetics Laboratory;Expert Review Green;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11, OMIM:615181				23453667		False	3	67;33;0	5.3	False		ENSG00000162885	ENSG00000162885	HGNC:28596													
B4GAT1	gene	B4GAT1	Expert Review Green;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13, OMIM:615287				23877401;23359570		False	3	50;25;25	5.3	False		ENSG00000174684	ENSG00000174684	HGNC:15685													
BET1	gene	BET1	Expert Review Green;London South GLH;NHS GMS	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital muscular dystrophy, MONDO:0019950				34779586		False	3	67;33;0	5.3	False		ENSG00000105829	ENSG00000105829	HGNC:14562													
CAVIN1	gene	CAVIN1	Expert list;Expert Review Green;NHS GMS	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Lipodystrophy, congenital generalized, type 4, OMIM:613327				19726876;12116229		False	3	100;0;0	5.3	False		ENSG00000177469	ENSG00000177469	HGNC:9688													
CHKB	gene	CHKB	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy, congenital, megaconial type, OMIM:602541				16371353;21665002		False	3	67;33;0	5.3	False		ENSG00000100288	ENSG00000100288	HGNC:1938													
COL12A1	gene	COL12A1	Expert Review;Expert Review Green;London South GLH;NHS GMS	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Ullrich congenital muscular dystrophy 2;Bethlem myopathy 2				24334769;24334604;27348394		False	3	67;33;0	5.3	False		ENSG00000111799	ENSG00000111799	HGNC:2188													
COL6A1	gene	COL6A1	Emory Genetics Laboratory;Expert Review Green;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Bethlem myopathy 1, OMIM:158810;Ullrich congenital muscular dystrophy 1, OMIM:254090				15955946;23738969;25535305		False	3	67;33;0	5.3	False		ENSG00000142156	ENSG00000142156	HGNC:2211													
COL6A2	gene	COL6A2	Emory Genetics Laboratory;Expert Review Green;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Bethlem myopathy, 158810;Ullrich congenital muscular dystrophy, 254090				15689448		False	3	67;33;0	5.3	False		ENSG00000142173	ENSG00000142173	HGNC:2212													
COL6A3	gene	COL6A3	Emory Genetics Laboratory;Expert Review Green;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Bethlem myopathy, OMIM:158810;Ullrich congenital muscular dystrophy, OMIM:254090				15689448		False	3	67;33;0	5.3	False		ENSG00000163359	ENSG00000163359	HGNC:2213													
DAG1	gene	DAG1	Emory Genetics Laboratory;Expert Review Green;London South GLH;NHS GMS	Congenital muscular dystrophy	Neuromuscular disorders	Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9, OMIM:616538;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9, OMIM:613818				25934851;24052401;22810924;26380289;35082294		False	3	75;25;0	5.3	False		ENSG00000173402	ENSG00000173402	HGNC:2666													
